description,domain,response,model_type,term,test,statistic,df1,df2,n,estimate,units,pct_change,ci_low,ci_high,p_value,qualitative,source_script,source_artifact
"Morphology: New corallites on tip — fixed: treatment2:day:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day:thicket3,Wald z,118.915,NA,NA,NA,0.6329,log-odds,88.3089,0.6225,0.6433,0,"fixed: treatment2:day:thicket3: OR=1.88 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: treatment2:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket2,Wald z,-81037.5574,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment2:thicket2: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: treatment2:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket3,Wald z,3032.2678,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment2:thicket3: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",thicket,Wald chi-sq,4565550748.3653,2,NA,NA,NA,NA,NA,NA,NA,0,thicket effect on new_corallites_on_tip (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: New corallites on tip — treatment [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",treatment,Wald chi-sq,9022593865.6772,1,NA,NA,NA,NA,NA,NA,NA,0,treatment effect on new_corallites_on_tip (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: New corallites on tip — treatment:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day,Wald chi-sq,57592585.0566,1,NA,NA,NA,NA,NA,NA,NA,0,treatment:day effect on new_corallites_on_tip (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: New corallites on tip — treatment:day:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day:thicket,Wald chi-sq,58922549.5634,2,NA,NA,NA,NA,NA,NA,NA,0,treatment:day:thicket effect on new_corallites_on_tip (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: New corallites on tip — treatment:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:thicket,Wald chi-sq,6576021429.0009,2,NA,NA,NA,NA,NA,NA,NA,0,treatment:thicket effect on new_corallites_on_tip (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: New corallites on tip — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,New corallites on tip,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,-0,NA,NA,NA,-0,probability,-0,NA,NA,NA,P(28C)=0.00 vs P(31C)=0.00; OR(31vs28)=NA,code/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Morphology: Pigment over wound — day [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",day,Wald chi-sq,1.6254,1,NA,NA,NA,NA,NA,NA,NA,0.2023,day effect on pigment_over_wound (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — day:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",day:thicket,Wald chi-sq,8.3477,2,NA,NA,NA,NA,NA,NA,NA,0.0154,day:thicket effect on pigment_over_wound (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — fixed: day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day,Wald z,-0.2585,NA,NA,NA,-0.4009,log-odds,-33.0288,-3.4401,2.6383,0.796,"fixed: day: OR=0.67 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: day:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicket2,Wald z,0.6388,NA,NA,NA,1.0132,log-odds,175.4313,-2.0956,4.122,0.523,"fixed: day:thicket2: OR=2.75 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: day:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicket3,Wald z,0.1285,NA,NA,NA,0.2002,log-odds,22.1618,-2.8524,3.2528,0.8977,"fixed: day:thicket3: OR=1.22 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket2,Wald z,-0.7077,NA,NA,NA,-4.6141,log-odds,-99.0089,-17.3925,8.1643,0.4791,"fixed: thicket2: OR=0.01 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket3,Wald z,0.7237,NA,NA,NA,3.4641,log-odds,3094.7041,-5.9183,12.8464,0.4693,"fixed: thicket3: OR=31.95 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2,Wald z,0.7477,NA,NA,NA,3.5937,log-odds,3536.7883,-5.8267,13.0141,0.4546,"fixed: treatment2: OR=36.37 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day,Wald z,0.1434,NA,NA,NA,0.2231,log-odds,24.993,-2.8262,3.2724,0.886,"fixed: treatment2:day: OR=1.25 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:day:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day:thicket2,Wald z,0.943,NA,NA,NA,2.0542,log-odds,680.0596,-2.2153,6.3237,0.3457,"fixed: treatment2:day:thicket2: OR=7.80 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:day:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day:thicket3,Wald z,-0.0818,NA,NA,NA,-1.6425,log-odds,-80.6499,-40.9781,37.6932,0.9348,"fixed: treatment2:day:thicket3: OR=0.19 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket2,Wald z,-1.5917,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment2:thicket2: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket3,Wald z,-0.6447,NA,NA,NA,-8.44,log-odds,-99.9784,-34.0975,17.2175,0.5191,"fixed: treatment2:thicket3: OR=0.00 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",thicket,Wald chi-sq,6.8409,2,NA,NA,NA,NA,NA,NA,NA,0.0327,thicket effect on pigment_over_wound (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — treatment [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment,Wald chi-sq,0.5021,1,NA,NA,NA,NA,NA,NA,NA,0.4786,treatment effect on pigment_over_wound (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — treatment:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day,Wald chi-sq,1.3498000000000001,1,NA,NA,NA,NA,NA,NA,NA,0.2453,treatment:day effect on pigment_over_wound (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — treatment:day:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day:thicket,Wald chi-sq,0.9073,2,NA,NA,NA,NA,NA,NA,NA,0.6353,treatment:day:thicket effect on pigment_over_wound (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — treatment:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:thicket,Wald chi-sq,2.3411,2,NA,NA,NA,NA,NA,NA,NA,0.3102,treatment:thicket effect on pigment_over_wound (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Pigment over wound,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.0041,NA,NA,NA,0.0041,probability,0.41,NA,NA,0.9084,P(28C)=0.00 vs P(31C)=0.00; OR(31vs28)=0.0005,code/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Morphology: Polyp in hole — day [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",day,Wald chi-sq,6608408.7681,1,NA,NA,NA,NA,NA,NA,NA,0,day effect on polyp_in_hole (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyp in hole — day:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",day:thicket,Wald chi-sq,11561002.3412,2,NA,NA,NA,NA,NA,NA,NA,0,day:thicket effect on polyp_in_hole (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyp in hole — fixed: day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day,Wald z,2578.6075,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: day:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicket2,Wald z,-2469.0665,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day:thicket2: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: day:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicket3,Wald z,-2340.0577,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day:thicket3: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket2,Wald z,7250.4337,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: thicket2: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket3,Wald z,6884.3882,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: thicket3: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: treatment2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2,Wald z,-52.9299,NA,NA,NA,-0.4087,log-odds,-33.5481,-0.4238,-0.3936,0,"fixed: treatment2: OR=0.66 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: treatment2:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day,Wald z,72.0824,NA,NA,NA,0.5566,log-odds,74.4746,0.5415,0.5717,0,"fixed: treatment2:day: OR=1.74 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: treatment2:day:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day:thicket2,Wald z,-73.664,NA,NA,NA,-0.5688,log-odds,-43.3804,-0.5839,-0.5537,0,"fixed: treatment2:day:thicket2: OR=0.57 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: treatment2:day:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day:thicket3,Wald z,2306.285,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment2:day:thicket3: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: treatment2:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket2,Wald z,81.7835,NA,NA,NA,0.6315,log-odds,88.049,0.6164,0.6467,0,"fixed: treatment2:thicket2: OR=1.88 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — fixed: treatment2:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket3,Wald z,-6973.9726,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment2:thicket3: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyp in hole — thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",thicket,Wald chi-sq,99947739.691,2,NA,NA,NA,NA,NA,NA,NA,0,thicket effect on polyp_in_hole (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyp in hole — treatment [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",treatment,Wald chi-sq,2804.727,1,NA,NA,NA,NA,NA,NA,NA,0,treatment effect on polyp_in_hole (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyp in hole — treatment:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day,Wald chi-sq,5348.6584,1,NA,NA,NA,NA,NA,NA,NA,0,treatment:day effect on polyp_in_hole (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyp in hole — treatment:day:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day:thicket,Wald chi-sq,5324321.9466,2,NA,NA,NA,NA,NA,NA,NA,0,treatment:day:thicket effect on polyp_in_hole (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyp in hole — treatment:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyp in hole,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:thicket,Wald chi-sq,48644285.1146,2,NA,NA,NA,NA,NA,NA,NA,0,treatment:thicket effect on polyp_in_hole (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyp in hole — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Polyp in hole,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0,NA,NA,NA,0,probability,0,NA,NA,NA,P(28C)=1.00 vs P(31C)=1.00; OR(31vs28)=NA,code/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Morphology: Polyps out — day [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",day,Wald chi-sq,0.0298,1,NA,NA,NA,NA,NA,NA,NA,0.863,day effect on polyps_out (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyps out — day:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",day:thicket,Wald chi-sq,3.4152,2,NA,NA,NA,NA,NA,NA,NA,0.1813,day:thicket effect on polyps_out (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyps out — fixed: day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day,Wald z,2.4315,NA,NA,NA,0.2344,log-odds,26.4189,0.0455,0.4234,0.015,"fixed: day: OR=1.26 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: day:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicket2,Wald z,0.13,NA,NA,NA,0.0179,log-odds,1.8071,-0.2522,0.288,0.8966,"fixed: day:thicket2: OR=1.02 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: day:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicket3,Wald z,0.0128,NA,NA,NA,0.0017,log-odds,0.1728,-0.2628,0.2662,0.9898,"fixed: day:thicket3: OR=1.00 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket2,Wald z,0.148,NA,NA,NA,0.0647,log-odds,6.6829,-0.792,0.9213,0.8823,"fixed: thicket2: OR=1.07 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket3,Wald z,0.3345,NA,NA,NA,0.1446,log-odds,15.5524,-0.7024,0.9915,0.738,"fixed: thicket3: OR=1.16 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: treatment2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2,Wald z,1.2526,NA,NA,NA,0.5321,log-odds,70.2584,-0.3005,1.3648,0.2103,"fixed: treatment2: OR=1.70 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: treatment2:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day,Wald z,-3.2323,NA,NA,NA,-0.3279,log-odds,-27.9577,-0.5268,-0.1291,0.0012,"fixed: treatment2:day: OR=0.72 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: treatment2:day:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day:thicket2,Wald z,1.3791,NA,NA,NA,0.2158,log-odds,24.0846,-0.0909,0.5225,0.1679,"fixed: treatment2:day:thicket2: OR=1.24 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: treatment2:day:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day:thicket3,Wald z,0.2141,NA,NA,NA,0.0299,log-odds,3.0365,-0.2439,0.3037,0.8305,"fixed: treatment2:day:thicket3: OR=1.03 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: treatment2:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket2,Wald z,-0.1582,NA,NA,NA,-0.0787,log-odds,-7.565,-1.0536,0.8962,0.8743,"fixed: treatment2:thicket2: OR=0.92 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — fixed: treatment2:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket3,Wald z,0.0487,NA,NA,NA,0.0235,log-odds,2.3818,-0.9235,0.9706,0.9611,"fixed: treatment2:thicket3: OR=1.02 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Polyps out — thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",thicket,Wald chi-sq,2.5091,2,NA,NA,NA,NA,NA,NA,NA,0.2852,thicket effect on polyps_out (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyps out — treatment [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",treatment,Wald chi-sq,0.0495,1,NA,NA,NA,NA,NA,NA,NA,0.824,treatment effect on polyps_out (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyps out — treatment:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day,Wald chi-sq,11.9998,1,NA,NA,NA,NA,NA,NA,NA,5e-4,treatment:day effect on polyps_out (significant),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyps out — treatment:day:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day:thicket,Wald chi-sq,1.9586,2,NA,NA,NA,NA,NA,NA,NA,0.3756,treatment:day:thicket effect on polyps_out (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyps out — treatment:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:thicket,Wald chi-sq,0.1501,2,NA,NA,NA,NA,NA,NA,NA,0.9277,treatment:thicket effect on polyps_out (n.s.),code/12c_morph_blme.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Polyps out — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Polyps out,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.1345,NA,NA,NA,0.1345,probability,13.45,NA,NA,0.0069,P(28C)=0.97 vs P(31C)=0.84; OR(31vs28)=0.14,code/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
